medcode,readcode,readterm,minormalformation,subgroup
89579,g54z014,insufficiency of unspecified heart valve,,Heart
54478,g553.00,endocardial fibroelastosis,,Heart
53756,gyu1000,[x]other mitral valve diseases,,Heart
99077,gyu1200,[x]other tricuspid valve diseases,,Heart
98560,gyu5500,[x]other nonrheumatic mitral valve disorders,,Heart
49272,gyu5600,[x]other aortic valve disorders,,Heart
53959,gyu5800,[x]other pulmonary valve disorders,,Heart
15363,j040.15,micrognathism,,"""Ear, Face & Neck"""
29316,j040300,mandibular micrognathism,,"""Ear, Face & Neck"""
23467,j040800,maxillary micrognathism,,"""Ear, Face & Neck"""
95850,j040b00,micrognathism unspecified,,"""Ear, Face & Neck"""
40334,j074.00,fistula of salivary gland,,Digestive
40309,j074000,fistula of parotid gland,,Digestive
37195,j074100,fistula of submandibular gland,,Digestive
50319,j074200,fistula of sublingual gland,,Digestive
99215,j074z00,fistula of salivary gland nos,,Digestive
57606,j085200,fistula of lip,,Digestive
29879,j085300,hypertrophy of lip,Yes,"""Ear, Face & Neck"""
4048,j10y200,tracheo-oesophageal fistula,,Digestive
408,j30..00,inguinal hernia,Yes,Other
8042,j30..12,direct inguinal hernia,Yes,Other
10926,j30..13,indirect inguinal hernia,Yes,Other
64521,j300.00,inguinal hernia with gangrene,Yes,Other
63166,j300000,unilateral inguinal hernia with gangrene,Yes,Other
97892,j300300,bilateral recurrent inguinal hernia with gangrene,Yes,Other
2230,j300z00,inguinal hernia with gangrene nos,Yes,Other
34784,j301.00,inguinal hernia with obstruction,Yes,Other
27607,j301000,unilateral inguinal hernia with obstruction,Yes,Other
29088,j301100,unilateral recurrent inguinal hernia with obstruction,Yes,Other
63481,j301200,bilateral inguinal hernia with obstruction,Yes,Other
15681,j301z00,inguinal hernia with obstruction nos,Yes,Other
16913,j302.00,inguinal hernia - irreducible,Yes,Other
27684,j302000,unilateral inguinal hernia - irreducible,Yes,Other
53662,j302100,unilateral recurrent inguinal hernia - irreducible,Yes,Other
62839,j302200,bilateral inguinal hernia - irreducible,Yes,Other
70896,j302300,bilateral recurrent inguinal hernia - irreducible,Yes,Other
44672,j302z00,inguinal hernia - irreducible and nos,Yes,Other
35442,j303.00,simple inguinal hernia,Yes,Other
7921,j303000,unilateral inguinal hernia - simple,Yes,Other
2863,j303011,left inguinal hernia,Yes,Other
1406,j303012,right inguinal hernia,Yes,Other
22315,j303100,unilateral recurrent inguinal hernia - simple,Yes,Other
21516,j303200,bilateral inguinal hernia - simple,Yes,Other
25257,j303300,bilateral recurrent inguinal hernia - simple,Yes,Other
33531,j303z00,simple inguinal hernia nos,Yes,Other
9405,j304.00,direct inguinal hernia,Yes,Other
27850,j305.00,indirect inguinal hernia,Yes,Other
23543,j30y.00,inguinal hernia unspecified,Yes,Other
5653,j30y000,unilateral inguinal hernia unspecified,Yes,Other
5531,j30y100,unilateral recurrent inguinal hernia unspecified,Yes,Other
3651,j30y200,bilateral inguinal hernia unspecified,Yes,Other
48277,j30y300,bilateral recurrent inguinal hernia unspecified,Yes,Other
54857,j30yz00,unspecified inguinal hernia nos,Yes,Other
20603,j30z.00,inguinal hernia nos,Yes,Other
38418,j32..11,omphalocele,,Abdominal Wall
100368,j321000,omphalocele with obstruction,,Abdominal Wall
42590,j323000,simple omphalocoele,,Abdominal Wall
99515,j32y000,unspecified omphalocoele,,Abdominal Wall
4987,j34..00,diaphragmatic hernia,,Digestive
256,j34..11,hiatus hernia,Yes,Digestive
31732,j34..12,parasternal hernia,,Other
110120,j34..13,retrosternal hernia,,Other
24703,j340.00,diaphragmatic hernia with gangrene,,Digestive
44233,j341.00,diaphragmatic hernia with obstruction,,Digestive
60697,j342.00,diaphragmatic hernia - irreducible,,Digestive
34691,j343.00,simple diaphragmatic hernia,,Digestive
68880,j344.00,hiatus hernia with gangrene,Yes,Digestive
63180,j345.00,hiatus hernia with obstruction,Yes,Digestive
48153,j346.00,hiatus hernia - irreducible,Yes,Digestive
33779,j347.00,simple hiatus hernia,Yes,Digestive
12086,j348.00,sliding hiatus hernia,Yes,Digestive
62920,j34y.00,unspecified diaphragmatic hernia,,Digestive
11780,j34z.00,diaphragmatic hernia nos,,Digestive
10104,j34z000,hiatus hernia nos,Yes,Digestive
35852,j50z200,stenosis of intestine nos,,Digestive
21375,j50z300,stricture of intestine nos,,Digestive
66500,j527100,secondary megacolon - congenital,,Digestive
29179,j572.00,stenosis of rectum and anus,,Digestive
5334,j572000,stenosis of rectum,,Digestive
4856,j572111,anal stenosis,,Digestive
53581,j572z00,stenosis of rectum and anus nos,,Digestive
7154,k09..00,small kidney of unknown cause,,Urinary
43919,k090.00,unilateral small kidney,,Urinary
105369,k090100,unilateral small kidney with contralateral hypertrophy,,Urinary
38774,k091.00,bilateral small kidneys,,Urinary
38768,k09z.00,small kidneys unspecified,,Urinary
3277,k11..00,hydronephrosis,,Urinary
17778,k111.00,hydroureteronephrosis,,Urinary
10410,k113.00,hydronephrosis with ureteropelvic junction obstruction,,Urinary
8522,k113.11,hydronephrosis with pelviureteric junction obstruction,,Urinary
28159,k11x.00,hydronephrosis with ureteral stricture nec,,Urinary
27302,k11z.00,hydronephrosis nos,,Urinary
3485,k133.00,stricture of ureter,,Urinary
4890,k133100,stricture of pelviureteric junction,,Urinary
15835,k133z00,stricture of ureter nos,,Urinary
98013,k13b.00,calyceal diverticulum,,Urinary
67386,k140000,calculus in diverticulum of bladder,,Urinary
21785,k163.00,diverticulum of bladder,,Urinary
44863,k191100,urethrorectal fistula,,Urinary
5256,k521200,rectovaginal fistula,,Genital
20954,k562.00,stricture or atresia of the vagina,,Genital
73156,k562.12,atresia of vagina,,Genital
27648,k562300,atresia of vagina,,Genital
44710,k562z00,stricture or atresia of the vagina nos,,Genital
21379,k562z11,vaginal band,Yes,Genital
72621,kyu1100,[x]other and unspecified hydronephrosis,,Urinary
98067,kyu1f00,[x]hydronephrosis with ureteral stricture nec,,Urinary
44429,l236.00,hydrocephalic disproportion,,Nervous System
101559,l236000,hydrocephalic disproportion unspecified,,Nervous System
94384,l236100,hydrocephalic disproportion - delivered,,Nervous System
104764,l236200,hydrocephalic disproportion with antenatal problem,,Nervous System
96414,l236z00,hydrocephalic disproportion nos,,Nervous System
44644,l250.00,fetus with central nervous system malformation,,Nervous System
38608,l250.11,suspect fetal anencephaly,,Nervous System
46413,l250.12,suspect fetal hydrocephaly,,Nervous System
8846,l250.13,suspect fetal spina bifida,,Nervous System
71279,l250000,fetus with central nervous system malformation unspecified,,Nervous System
32838,l250100,fetus with central nervous system malformation - delivered,,Nervous System
61162,l250200,fetus with central nervous system malformation + a/n problem,,Nervous System
105097,l250300,maternal care for suspected cns malformation in fetus,,Nervous System
54690,l250400,maternal care for cns malformation in fetus,,Nervous System
71495,l250z00,fetus with central nervous system malformation nos,,Nervous System
96331,l258.00,fetus with cardiovascular abnormality,,Heart
31418,n233000,arthrogryposis,,Limb
23320,n233011,arthrogryposis multiplex congenita.,,Limb
613,n34..00,flat foot,Yes,Limb
27753,n340000,hypermobile flat foot,Yes,Limb
70916,n340100,rigid flat foot,Yes,Limb
64943,n340200,peroneal spastic flat foot,Yes,Limb
28519,n34z.00,flat foot nos,Yes,Limb
17158,n357.00,crossover toe,Yes,Limb
26843,n358.00,mallet toe,Yes,Limb
10729,n35a.00,over-riding 5th toe,Yes,Limb
1818,n361.00,mallet finger,Yes,Limb
4378,n363400,persistent femoral anteversion,,Limb
945,n364011,knock knee,Yes,Limb
2352,n364111,bow legged,Yes,Limb
68287,n36y300,deformity of clavicle,,Limb
61876,n36y400,deformity of scapula,,Limb
55975,n36y500,deformity of humerus,,Limb
63874,n36y600,deformity of radius,,Limb
32607,n36y700,deformity of ulna,,Limb
69168,n36y800,deformity of carpal bone,,Limb
61993,n36y900,deformity of metacarpal,,Limb
59037,n36ya00,deformity of phalanx of finger/thumb,,Limb
73597,n36yb00,deformity of pelvis,,Limb
37679,n36yc00,deformity of femur,,Limb
52764,n36yd00,deformity of patella,,Limb
28205,n36ye00,deformity of tibia,,Limb
104434,n36yf00,deformity of fibula,,Limb
63818,n36yg00,deformity of calcaneum,,Limb
67463,n36yh00,deformity of talus,Yes,Limb
99922,n36yj00,deformity of other tarsal bone,Yes,Limb
54686,n36yk00,deformity of metatarsal,Yes,Limb
54718,n36yl00,deformity of phalanx of toe,Yes,Limb
65017,n384000,dysplastic spondylolisthesis,,Other
10396,p....00,congenital anomalies,,Other
72707,p0...00,anencephalus and similar anomalies,,Nervous System
11531,p00..00,anencephalus,,Nervous System
54714,p00..11,congenital absence of brain,,Nervous System
50729,p000.00,acrania,,Nervous System
64623,p001.00,amyelencephalus,,Nervous System
110165,p002.00,hemicephaly,,Nervous System
68181,p002.11,hemianencephaly,,Nervous System
109394,p00y.00,other specified anencephalus,,Nervous System
66499,p00z.00,anencephalus nos,,Nervous System
103882,p01..00,craniorachischisis,,Nervous System
63821,p02..00,iniencephaly,,Nervous System
94467,p0z..00,anencephalus and similar anomalies nos,,Nervous System
3947,p1...00,spina bifida,,Nervous System
46790,p10..00,spina bifida with hydrocephalus,,Nervous System
72390,p10..11,arnold - chiari syndrome,,Nervous System
42497,p100.00,unspecified spina bifida with hydrocephalus,,Nervous System
5306,p100000,"spina bifida with hydrocephalus, unspecified",,Nervous System
109243,p100100,cervical spina bifida with hydrocephalus,,Nervous System
50565,p100200,thoracic spina bifida with hydrocephalus,,Nervous System
57113,p100300,lumbar spina bifida with hydrocephalus,,Nervous System
98298,p100z00,spina bifida with hydrocephalus nos,,Nervous System
9848,p101.00,arnold - chiari syndrome,,Nervous System
63513,p101.11,closed spina bifida with arnold-chiari malformation,,Nervous System
62968,p101000,chiari malformation type i,,Nervous System
89572,p101100,chiari malformation type ii,,Nervous System
98811,p102.00,spina bifida with hydrocephalus - open,,Nervous System
104943,p102.11,fissured spine with hydrocephalus,,Nervous System
52683,p102.13,myelocele with hydrocephalus,,Nervous System
53471,p102.14,rachischisis with hydrocephalus,,Nervous System
57243,p102200,thoracic spina bifida with hydrocephalus - open,,Nervous System
103284,p102300,lumbar spina bifida with hydrocephalus - open,,Nervous System
60623,p102400,sacral spina bifida with hydrocephalus - open,,Nervous System
47288,p102z00,spina bifida with hydrocephalus - open nos,,Nervous System
93902,p103.00,spina bifida with hydrocephalus - closed,,Nervous System
105767,p103300,lumbar spina bifida with hydrocephalus - closed,,Nervous System
72928,p103400,sacral spina bifida with hydrocephalus - closed,,Nervous System
90482,p103z11,thoracolumbar spina bifida with hydrocephalus - closed,,Nervous System
102628,p104.00,spina bifida with hydrocephalus of late onset,,Nervous System
56362,p105.00,spina bifida with stenosis of aqueduct of sylvius,,Nervous System
73085,p10y.00,other specified spina bifida with hydrocephalus,,Nervous System
59218,p10y000,dandy - walker syndrome with spina bifida,,Nervous System
64717,p10z.00,spina bifida with hydrocephalus nos,,Nervous System
5431,p11..00,spina bifida without mention of hydrocephalus,,Nervous System
95743,p110.11,split notochord syndrome,,Other
101013,p110000,"spina bifida without hydrocephalus, site unspecified",,Nervous System
68221,p110100,cervical spina bifida without mention of hydrocephalus,,Nervous System
96709,p110200,thoracic spina bifida without mention of hydrocephalus,,Nervous System
96407,p110300,lumbar spina bifida without mention of hydrocephalus,,Nervous System
95018,p110z00,unspecified spina bifida without hydrocephalus nos,,Nervous System
53578,p111.00,spinal hydromeningocele,,Nervous System
67878,p112.00,hydromyelocele,,Nervous System
6866,p113.00,spinal meningocele,,Nervous System
53929,p113000,spinal meningocele of unspecified site,,Nervous System
67351,p113100,cervical spinal meningocele,,Nervous System
91600,p113200,thoracic spinal meningocele,,Nervous System
61862,p113300,lumbar spinal meningocele,,Nervous System
50365,p113z00,spinal meningocele nos,,Nervous System
9722,p114.00,meningomyelocele,,Nervous System
99332,p114000,meningomyelocele of unspecified site,,Nervous System
107144,p114100,cervical meningomyelocele,,Nervous System
99299,p114200,thoracic meningomyelocele,,Nervous System
47827,p114300,lumbar meningomyelocele,,Nervous System
57611,p114z00,meningomyelocele nos,,Nervous System
31775,p115.00,myelocele,,Nervous System
94598,p115100,cervical myelocele,,Nervous System
66516,p115300,lumbar myelocele,,Nervous System
73712,p115z00,myelocele nos,,Nervous System
59380,p116.00,myelocystocele,,Nervous System
107377,p116100,cervical myelocystocele,,Nervous System
101493,p116300,lumbar myelocystocele,,Nervous System
109893,p116z00,myelocystocele nos,,Nervous System
99281,p117.00,spina bifida without hydrocephalus - open,,Nervous System
56386,p117.11,fissured spine,,Nervous System
67708,p117.12,rachischisis,,Nervous System
95478,p117200,thoracic spina bifida without hydrocephalus - open,,Nervous System
69397,p117300,lumbar spina bifida without hydrocephalus - open,,Nervous System
71525,p117400,sacral spina bifida without hydrocephalus - open,,Nervous System
73608,p117z00,spina bifida without hydrocephalus - open nos,,Nervous System
48609,p118.00,spina bifida without hydrocephalus - closed,,Nervous System
69370,p118000,unspecified spina bifida without hydrocephalus - closed,,Nervous System
72018,p118100,cervical spina bifida without hydrocephalus - closed,,Nervous System
65936,p118300,lumbar spina bifida without hydrocephalus - closed,,Nervous System
70923,p118400,sacral spina bifida without hydrocephalus - closed,,Nervous System
65246,p118z00,spina bifida without hydrocephalus - closed nos,,Nervous System
99894,p11y.00,other specified spina bifida without hydrocephalus,,Nervous System
43593,p11y.11,syringomyelocele,,Nervous System
98280,p11z.00,spina bifida without mention of hydrocephalus nos,,Nervous System
101703,p11z.14,congenital hernia of dura mater,,Nervous System
21802,p1z..00,spina bifida nos,,Nervous System
65088,p2...00,other nervous system congenital anomalies,,Nervous System
4673,p20..00,encephalocele,,Nervous System
101312,p20..11,hydroencephalocele,,Nervous System
67556,p20..12,cephalocele,,Nervous System
53474,p20..13,congenital cerebral hernia,,Nervous System
72048,p20..14,congenital endaural hernia,,Nervous System
31717,p20..15,sinus pericranii,,Nervous System
30168,p200.00,encephalocystocele,,Nervous System
36116,p201.00,encephalomyelocele,,Nervous System
103527,p202.00,hydromeningocele - cranial,,Nervous System
27686,p203.00,meningocele - cerebral,,Nervous System
25282,p203.11,meningocele - cranial,,Nervous System
52130,p204.00,meningoencephalocele,,Nervous System
67264,p205.00,frontal encephalocele,,Nervous System
65099,p206.00,nasofrontal encephalocele,,Nervous System
73055,p20z.00,encephalocele nos,,Nervous System
48027,p20z000,occipital encephalocele,,Nervous System
100582,p20z100,encephalocele of other specified site,,Nervous System
5712,p21..00,microcephalus,,Nervous System
85988,p210.00,hydromicrocephaly,,Nervous System
6515,p211.00,micrencephaly,,Nervous System
33939,p21z.00,microcephalus nos,,Nervous System
54717,p22..00,reduction deformities of brain,,Nervous System
23457,p220.00,"agenesis of brain, part unspecified",,Nervous System
100305,p221.00,"aplasia of brain, part unspecified",,Nervous System
63668,p222.00,"hypoplasia of brain, part unspecified",,Nervous System
53723,p223.00,agyria,,Nervous System
34950,p223.11,lissencephaly,,Nervous System
93441,p224.00,arhinencephaly,,Nervous System
34161,p225.00,holoprosencephaly,,Nervous System
42784,p226.00,microgyria,,Nervous System
39724,p227.00,anomalies of cerebrum,,Nervous System
40777,p227000,agenesis of cerebrum,,Nervous System
103611,p227100,congenital hypoplasia of cerebrum,,Nervous System
111258,p227z00,anomaly of cerebrum nos,,Nervous System
32468,p228.00,anomalies of corpus callosum,,Nervous System
41775,p228000,congenital absence of corpus callosum,,Nervous System
39486,p228011,agenesis of corpus callosum,,Nervous System
37600,p228100,hypoplasia of corpus callosum,,Nervous System
103057,p228200,aplasia of corpus callosum,,Nervous System
60648,p228z00,anomaly of corpus callosum nos,,Nervous System
46471,p229.00,anomalies of hypothalamus,,Nervous System
28318,p22a.00,anomalies of cerebellum,,Nervous System
25316,p22a000,congenital absence of cerebellum,,Nervous System
54877,p22a011,agenesis of cerebellum,,Nervous System
44717,p22a100,hypoplasia of cerebellum,,Nervous System
91846,p22a200,aplasia of cerebellum,,Nervous System
44253,p22az00,anomaly of cerebellum nos,,Nervous System
107378,p22y.00,other specified reduction deformities of brain,,Nervous System
58163,p22y300,partial absence of septum pellucidum,,Nervous System
106704,p22yz00,other reduction deformity of brain nos,,Nervous System
64541,p22z.00,reduction deformities of brain nos,,Nervous System
37785,p22z.11,cerebellar hypoplasia,,Nervous System
58710,p22z.12,agenesis of part of brain nec,,Nervous System
60216,p22z.13,hypoplasia of part of brain nec,,Nervous System
9611,p23..00,congenital hydrocephalus,,Nervous System
54912,p230.00,aqueduct of sylvius anomaly,,Nervous System
40588,p230.11,hydrocephauls with anomaly of aqueduct of sylvius,,Nervous System
46120,p230.12,stenosis of aqueduct of sylvius,,Nervous System
55960,p230100,aqueduct of sylvius stenosis,,Nervous System
92350,p231.00,foramen of magendie atresia,,Nervous System
59040,p232.00,foramen of luschka atresia,,Nervous System
51345,p233.00,atresia of foramina of magendie and luschka,,Nervous System
18537,p233.11,dandy - walker syndrome,,Nervous System
97663,p233.12,hydrocephalus with atresia of foramina of magendie+luschka,,Nervous System
46583,p234.00,hydranencephaly,,Nervous System
111641,p23y.00,other specified congenital hydrocephalus,,Nervous System
28353,p23z.00,congenital hydrocephalus nos,,Nervous System
47514,p24..00,other specified brain anomalies,,Nervous System
39391,p240.00,congenital cerebral cyst,Yes,Nervous System
95632,p240.11,congenital intracerebral cyst,,Nervous System
107846,p240000,single congenital cerebral cyst,Yes,Nervous System
109441,p240100,multiple congenital cerebral cysts,,Nervous System
28824,p240200,schizencephaly,,Nervous System
71733,p240z00,congenital cerebral cyst nos,Yes,Nervous System
37474,p241.00,macroencephaly,,Nervous System
33442,p241.11,megalencephaly,,Nervous System
71451,p241.12,enlarged brain,,Nervous System
27537,p241.13,macrocephaly,Yes,Other
72094,p242.00,macrogyria,,Nervous System
62992,p243.00,porencephaly,,Nervous System
110763,p244.00,ulegyria,,Nervous System
60195,p245.00,congenital adhesions of cerebral meninges,,Nervous System
12284,p246.00,septo-optic dysplasia,,Nervous System
51745,p247.00,dysplasia of cerebral cortex,,Nervous System
64134,p248.00,congenital dilated lateral ventricles of brain,,Nervous System
50169,p249.00,megalencephaly,,Nervous System
95697,p24a.00,hemimegalencephaly,,Nervous System
62242,p24z.00,other specified brain anomalies nos,,Nervous System
70266,p25..00,other specified spinal cord anomalies,,Nervous System
15988,p250.00,diastematomyelia,,Nervous System
44939,p251.00,hydromyelia,,Nervous System
48940,p252.00,congenital tethering of spinal cord,,Nervous System
95591,p25y.00,other specified anomalies of spinal cord,,Nervous System
65162,p25y.11,neuroenteric cyst,,Nervous System
93903,p25y000,amyelia,,Nervous System
67498,p25y100,atelomyelia,,Nervous System
69221,p25y111,myelatelia,,Nervous System
45142,p25y112,myelodysplasia of spinal cord,,Nervous System
45918,p25y200,congenital anomaly of spinal meninges,,Nervous System
61647,p25y300,defective development of the cauda equina,,Nervous System
73166,p25y400,spinal cord hypoplasia,,Nervous System
104035,p25yz00,other specified spinal cord anomalies nos,,Nervous System
16164,p25z.00,spinal cord anomalies nos,,Nervous System
105186,p26..00,disorder of neuronal migration and differentiation,,Nervous System
73819,p2x..00,other specified nervous system anomalies,,Nervous System
67476,p2x0.00,"agenesis of nerve, unspecified",,Nervous System
22738,p2x1.00,brachial plexus displacement,,Nervous System
43808,p2x6.00,chiari malformation type i,,Nervous System
81446,p2x7.00,congenital facial nerve palsy,,Nervous System
50663,p2xz.00,other specified nervous system anomalies nos,,Nervous System
93911,p2xz000,agenesis of nerve nec,,Nervous System
39392,p2xz100,congenital optic atrophy,,Nervous System
73574,p2y..00,unspec nervous system anomaly of brain/cord/nervous system,,Nervous System
8893,p2y0.00,congenital brain anomaly,,Nervous System
36974,p2y1.00,congenital spinal cord anomaly,,Nervous System
67870,p2yz.00,unspecified nervous system anomaly nos,,Nervous System
15345,p2z..00,nervous system anomalies nos,,Nervous System
4086,p3...00,congenital eye anomalies,,Eye
23605,p30..00,anophthalmos,,Eye
31592,p300.00,"clinical anophthalmos, unspecified",,Eye
56285,p300100,agenesis of eye,,Eye
68208,p300200,congenital absence of eye,,Eye
70742,p300z00,anophthalmos nos,,Eye
51185,p301.00,congenital cystic eyeball,,Eye
67756,p303.00,congenital absence of eyes,,Eye
37557,p30z.00,anophthalmos nos,,Eye
26462,p31..00,microphthalmos,,Eye
72284,p310.00,"microphthalmos, unspecified",,Eye
37781,p310000,dysplasia of eye,,Eye
23889,p310100,hypoplasia of eye,,Eye
65888,p310200,rudimentary eye,,Eye
64325,p310z00,unspecified microphthalmos nos,,Eye
31651,p311.00,simple microphthalmos,,Eye
48507,p312.00,microphthalmos with other eye anomaly,,Eye
63439,p31z.00,microphthalmos nos,,Eye
31328,p32..00,buphthalmos,,Eye
23407,p320000,congenital glaucoma,,Eye
98721,p320011,newborn glaucoma,,Eye
111582,p320z00,unspecified buphthalmos nos,,Eye
96390,p321.00,simple buphthalmos,,Eye
92890,p321.11,enlarged eye nos,,Eye
70469,p32z.00,buphthalmos nos,,Eye
4148,p33..00,congenital cataract and lens anomalies,,Eye
35351,p33..11,congenital lens anomaly,,Eye
299,p330.00,"congenital cataract, unspecified",,Eye
59914,p331.00,capsular and subcapsular cataract,,Eye
18089,p331000,capsular cataract,,Eye
11255,p331100,subcapsular cataract,,Eye
88738,p331z00,capsular or subcapsular cataract nos,,Eye
96385,p332.00,cortical and zonular cataract,,Eye
60425,p332000,cortical cataract - congenital,,Eye
63429,p332100,zonular cataract,,Eye
98962,p332z00,cortical or zonular cataract nos,,Eye
63212,p333.00,nuclear cataract - congenital,,Eye
39081,p334000,total congenital cataract,,Eye
71623,p334z00,total or subtotal congenital cataract nos,,Eye
69823,p335.00,congenital aphakia,,Eye
62531,p335.11,congenital absence of lens,,Eye
107635,p335.12,agenesis of lens,,Eye
66637,p336.00,anomalies of lens shape,,Eye
26127,p336200,coloboma of lens,,Eye
61381,p336z00,anomalies of lens shape nos,,Eye
29474,p337.00,congenital ectopic lens,,Eye
95791,p337.11,congenital displaced lens,,Eye
55135,p337.12,congenital dislocation of lens,,Eye
70700,p33y.00,other specified congenital cataract or lens anomaly,,Eye
27898,p33y000,blue dot cataract,,Eye
99424,p33y100,congenital membranous cataract,,Eye
90279,p33yz00,other congenital cataract or lens anomaly nos,,Eye
45926,p33z.00,congenital cataract or lens anomaly nos,,Eye
21632,p34..00,anterior chamber anomalies,,Eye
36003,p340.00,corneal size and shape anomalies,,Eye
57790,p340000,microcornea,,Eye
23783,p340100,congenital keratoconus,,Eye
47661,p340200,cornea plana,,Eye
58005,p340z00,corneal size or shape anomalies nos,,Eye
11583,p341.00,congenital corneal opacities,,Eye
32615,p341.11,arcus juvenilis,Yes,Eye
71732,p341000,congenital corneal opacity with visual deficit,,Eye
86412,p341100,congenital corneal opacity without visual deficit,,Eye
66259,p341z00,congenital corneal opacities nos,,Eye
60073,p342.00,specified anterior chamber anomalies,,Eye
62483,p342z00,specified anterior chamber anomalies nos,,Eye
99401,p344.11,goniodysgenesis,,Eye
44851,p344000,congenital anisocoria,,Eye
73673,p344100,atresia of pupil,,Eye
15902,p344200,coloboma of iris,,Eye
40571,p344300,corectopia,,Eye
92173,p344400,polycoria,,Eye
71298,p344500,hypoplasia of iris,,Eye
59944,p344600,aplasia of iris,,Eye
63097,p344z00,other iris or ciliary body anomalies nos,,Eye
17422,p345.00,specified anomalies of sclera,,Eye
48943,p345z00,specified anomaly of sclera nos,,Eye
69009,p34z.00,anterior segment anomalies nos,,Eye
62479,p35..00,posterior chamber congenital anomalies,,Eye
10756,p350.00,vitreous anomalies,,Eye
21063,p350000,congenital vitreous opacity,,Eye
42271,p350z00,vitreous anomalies nos,,Eye
15501,p351.00,fundus coloboma,,Eye
34924,p352.00,congenital chorioretinal degeneration,,Eye
71724,p353000,congenital folds of the posterior segment,,Eye
60812,p353100,congenital cysts of the posterior segment,,Eye
62976,p355.00,other congenital retinal changes,,Eye
22114,p355000,coloboma of retina,,Eye
50584,p355100,congenital retinal fold,,Eye
101194,p355200,congenital hypertrophy of retinal pigment epithelium,,Eye
25692,p355z00,other congenital retinal changes nos,,Eye
29719,p356.00,specified optic disc anomalies,,Eye
19244,p356.11,optic disc congenital anomalies,,Eye
26024,p356000,congenital optic disc coloboma,,Eye
44929,p356z00,specified optic disc anomaly nos,,Eye
55127,p357.00,posterior chamber vascular anomalies,,Other
49791,p357000,congenital retinal aneurysm,,Eye
62587,p357100,congenital arteriovenous malformation of retina,,Other
65200,p357z00,posterior chamber vascular anomalies nos,,Other
30000,p358.00,specified anomalies of choroid,,Eye
21767,p358000,coloboma of choroid,,Eye
41903,p358z00,specified anomaly of choroid nos,,Eye
89873,p35y.00,other specified congenital anomalies of posterior chamber,,Eye
94285,p35z.00,congenital anomalies of posterior chamber nos,,Eye
94280,p36..00,"congenital anomalies of eyelid, lacrimal system and orbit",,Eye
8319,p360.00,congenital ptosis,,Eye
16690,p360.11,blepharoptosis,,Eye
15587,p361.00,congenital eyelid deformity,Yes,Eye
60185,p361000,ablepharon -absent eyelids,Yes,Eye
49494,p361100,accessory eyelid,Yes,Eye
7458,p361200,congenital entropion,Yes,Eye
31998,p361300,congenital ectropion,Yes,Eye
37513,p361400,congenital blepharophimosis,Yes,Eye
39789,p361500,coloboma of eyelids,Yes,Eye
67169,p361z00,congenital eyelid deformity nos,Yes,Eye
48233,p362.00,other specified congenital eyelid anomalies,Yes,Eye
67919,p362000,agenesis of cilia,Yes,Eye
71382,p362100,agenesis of eyelid,Yes,Eye
60907,p362200,fused eyelids,Yes,Eye
91657,p362300,hypoplasia of eyelid,,Eye
61084,p362z00,other specified congenital eyelid anomalies nos,Yes,Eye
12753,p363.00,congenital lacrimal gland anomalies,,Eye
30468,p364.00,congenital lacrimal passage anomalies,,Eye
29686,p364.11,congenital blocked tear duct,,Eye
39152,p364000,agenesis of lacrimal apparatus,,Eye
93282,p364011,congenital absence of lacrimal apparatus,,Eye
65781,p364100,agenesis of punctum lacrimale,,Eye
97779,p364111,congenital absence of punctum lacrimale,,Eye
65131,p364200,accessory lacrimal canal,Yes,Eye
41479,p364300,stenosis or stricture of lacrimal duct,Yes,Eye
11463,p364400,congenital blocked tear duct,,Eye
70085,p364y00,other specified congenital anomaly of lacrimal passages,Yes,Eye
16355,p364z00,congenital anomaly of lacrimal passages nos,Yes,Eye
50282,p365.00,congenital orbit anomalies,,Eye
68836,p36z.00,other/unspecified anomalies of eyelid/lacrimal system/orbit,,Eye
54829,p36z000,accessory eye muscles,Yes,Eye
64255,p36z100,hypoplasia of eye muscle,Yes,Eye
20325,p36zz00,"eyelid, lacrimal system and orbit congenital anomalies nos",,Eye
58909,p37..00,macrophthalmos,,Eye
45352,p3y..00,other specified eye anomalies,,Eye
49394,p3yz.00,other eye anomalies nos,,Eye
43783,p3z..00,congenital eye anomalies nos,,Eye
57556,p4...00,"ear, face and neck congenital anomalies",,"""Ear, Face & Neck"""
5016,p40..00,ear anomalies with hearing impairment,,"""Ear, Face & Neck"""
50016,p400.00,"ear anomalies with hearing impaired, unspecified",,"""Ear, Face & Neck"""
46122,p401.00,congenital absence of external ear,,"""Ear, Face & Neck"""
43777,p401000,"congenital absence of external ear, unspecified",,"""Ear, Face & Neck"""
29900,p401011,absence of ear nos,,"""Ear, Face & Neck"""
67353,p401100,absence of external auditory canal,,"""Ear, Face & Neck"""
60570,p401200,ear auricle and external auditory canal absent,,"""Ear, Face & Neck"""
72932,p401211,congenital absence ear auricle,,"""Ear, Face & Neck"""
70139,p401300,congenital absence of auricle,,"""Ear, Face & Neck"""
73496,p401z00,absence of external ear nos,,"""Ear, Face & Neck"""
52802,p402.00,other external ear anomaly with hearing impairment,,"""Ear, Face & Neck"""
25819,p402000,atresia of external auditory canal,,"""Ear, Face & Neck"""
35987,p402100,stenosis of external auditory canal,Yes,"""Ear, Face & Neck"""
102497,p402111,congenital stricture of external auditory canal,Yes,"""Ear, Face & Neck"""
