prodcode,productname,bnfhead,substance
16567,metoclopramide 100mg/20ml solution for injection ampoules,products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
34887,metoclopramide 10mg tablet (c p pharmaceuticals ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
79374,metoclopramide 10mg tablet (celltech pharma europe ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
455,metoclopramide 10mg tablets,products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
34325,metoclopramide 10mg tablets (a a h pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
63059,metoclopramide 10mg tablets (accord healthcare ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
26363,metoclopramide 10mg tablets (actavis uk ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
53162,metoclopramide 10mg tablets (alliance healthcare (distribution) ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
72167,metoclopramide 10mg tablets (almus pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
64838,metoclopramide 10mg tablets (crescent pharma ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
61961,metoclopramide 10mg tablets (de pharmaceuticals),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
68024,metoclopramide 10mg tablets (kent pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
66770,metoclopramide 10mg tablets (sigma pharmaceuticals plc),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
33229,metoclopramide 10mg tablets (teva uk ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
60428,metoclopramide 10mg tablets (waymade healthcare plc),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
299,metoclopramide 10mg/2ml injection,motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
35046,metoclopramide 10mg/2ml solution for injection ampoules,products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
48445,metoclopramide 10mg/2ml solution for injection ampoules (a a h pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
34084,metoclopramide 10mg/2ml solution for injection ampoules (advanz pharma),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
65488,metoclopramide 10mg/2ml solution for injection ampoules (hameln pharma ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
43448,metoclopramide 12.5mg/5ml oral solution,products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
405,metoclopramide 15mg modified-release capsules,unknown,metoclopramide hydrochloride
3716,metoclopramide 15mg modified-release tablets,unknown,metoclopramide hydrochloride
6521,metoclopramide 1mg/ml sugar free oral solution,motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
17832,metoclopramide 30mg modified-release capsule,motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
4892,metoclopramide 5mg tablets,unknown,metoclopramide hydrochloride
4142,metoclopramide 5mg/5ml oral solution,motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
5081,metoclopramide 5mg/5ml oral solution sugar free,products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
47547,metoclopramide 5mg/5ml oral solution sugar free (a a h pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
52677,metoclopramide 5mg/5ml oral solution sugar free (alliance healthcare (distribution) ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
25994,metoclopramide 5mg/5ml oral solution sugar free (rosemont pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
25992,metoclopramide 5mg/5ml oral solution sugar free (sandoz ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
13034,metoclopramide 5mg/ml injection (phoenix healthcare distribution ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
8784,metox 10mg tablet (m a steinhard ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
8525,primperan 10mg tablet (berk pharmaceuticals ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
9118,primperan 5mg/5ml oral solution sugar free (berk pharmaceuticals ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
23753,primperan 5mg/ml injection (berk pharmaceuticals ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
17456,metoclopramide with lysine acetylsalicylate 10mg + 900mg oral solution,products used against nausea and vertigo - domperidone & metoclopramide/acute migraine,metoclopramide hydrochloride/aspirin lysine
12869,metoclopramide with paracetamol 5mg + 500mg sachets,products used against nausea and vertigo - domperidone & metoclopramide/acute migraine,metoclopramide hydrochloride/paracetamol
12778,metoclopramide with paracetamol 5mg + 500mg tablet,products used against nausea and vertigo - domperidone & metoclopramide/acute migraine,metoclopramide hydrochloride/paracetamol
9012,cyclimorph 15 solution for injection 1ml ampoules (advanz pharma),opioid analgesics,morphine tartrate/cyclizine tartrate
17398,morphine tartrate 15mg/1ml / cyclizine tartrate 50mg/1ml solution for injection ampoules,opioid analgesics,morphine tartrate/cyclizine tartrate
13971,ondansetron 16mg suppositories,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
10032,ondansetron 4mg oral lyophilisates sugar free,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
57835,ondansetron 4mg orodispersible films sugar free,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
45886,ondansetron 4mg orodispersible tablets,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
11664,ondansetron 8mg oral lyophilisates sugar free,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
57965,ondansetron 8mg orodispersible films sugar free,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
45764,ondansetron 8mg orodispersible tablets,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
59576,setofilm 4mg orodispersible films (norgine pharmaceuticals ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
71706,setofilm 8mg orodispersible films (norgine pharmaceuticals ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
19231,zofran 16mg suppositories (novartis pharmaceuticals uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
80929,zofran melt 4mg oral lyophilisates (mawdsley-brooks & company ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
10118,zofran melt 4mg oral lyophilisates (novartis pharmaceuticals uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
9787,zofran melt 8mg oral lyophilisates (novartis pharmaceuticals uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron
47101,demorem 4mg/5ml oral solution (kappin ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
618,ondansetron 2mg/ml injection,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
5087,ondansetron 4mg tablets,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
66189,ondansetron 4mg tablets (a a h pharmaceuticals ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
81650,ondansetron 4mg tablets (actavis uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
82462,ondansetron 4mg tablets (bristol laboratories ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
62540,ondansetron 4mg tablets (teva uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
31696,ondansetron 4mg/2ml solution for injection ampoules,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
59108,ondansetron 4mg/2ml solution for injection ampoules (a a h pharmaceuticals ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
52693,ondansetron 4mg/2ml solution for injection ampoules (accord healthcare ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
80979,ondansetron 4mg/2ml solution for injection ampoules (hameln pharma ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
75669,ondansetron 4mg/2ml solution for injection ampoules (mylan),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
80888,ondansetron 4mg/5ml oral solution,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
4712,ondansetron 4mg/5ml oral solution sugar free,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
68102,ondansetron 4mg/5ml oral solution sugar free (waymade healthcare plc),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
78118,ondansetron 4mg/5ml oral suspension,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
4235,ondansetron 8mg tablets,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
24798,ondansetron 8mg/4ml solution for injection ampoules,products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
65874,ondansetron 8mg/4ml solution for injection ampoules (a a h pharmaceuticals ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
74850,ondansetron 8mg/4ml solution for injection ampoules (wockhardt uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
36022,ondemet 4mg tablets (alliance pharmaceuticals ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
59614,ondemet 4mg/2ml solution for injection ampoules (alliance pharmaceuticals ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
39114,ondemet 8mg tablets (alliance pharmaceuticals ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
45902,ondemet 8mg/4ml solution for injection ampoules (alliance pharmaceuticals ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
17208,zofran 2mg/ml injection (glaxo laboratories ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
1438,zofran 4mg tablets (novartis pharmaceuticals uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
9913,zofran 4mg/5ml syrup (novartis pharmaceuticals uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
8473,zofran 8mg tablets (novartis pharmaceuticals uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
37276,zofran flexi-amp 4mg/2ml solution for injection ampoules (novartis pharmaceuticals uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
35898,zofran flexi-amp 8mg/4ml solution for injection ampoules (novartis pharmaceuticals uk ltd),products used against nausea and vertigo - 5 ht3 antagonists,ondansetron hydrochloride
68562,generic syndol caplets,unknown,paracetamol/codeine phosphate/doxylamine succinate/caffeine
9476,domperamol tablets (servier laboratories ltd),unknown,paracetamol/domperidone maleate
11614,paracetamol 500mg / domperidone 10mg tablets,unknown,paracetamol/domperidone maleate
32519,painex caplets (sandoz ltd),analgesics/non-opioid and compound analgesics/opioid analgesics,paracetamol/doxylamine succinate/codeine phosphate/caffeine
47200,propain plus caplets (ceuta healthcare ltd),analgesics,paracetamol/doxylamine succinate/codeine phosphate/caffeine
32891,syndol caplets (sanofi),analgesics,paracetamol/doxylamine succinate/codeine phosphate/caffeine
3514,paracetamol 500mg / metoclopramide 5mg effervescent powder sachets sugar free,acute migraine,paracetamol/metoclopramide hydrochloride
2306,paracetamol 500mg / metoclopramide 5mg tablets,acute migraine,paracetamol/metoclopramide hydrochloride
890,paramax sachets (sanofi),acute migraine,paracetamol/metoclopramide hydrochloride
892,paramax tablets (sanofi),acute migraine,paracetamol/metoclopramide hydrochloride
28792,medised colour and sf 120mg+1.5mg/5ml liquid (ssl international plc),sedating antihistamines/non-opioid and compound analgesics,paracetamol/promethazine hydrochloride
4203,medised liquid (ssl international plc),sedating antihistamines/non-opioid and compound analgesics,paracetamol/promethazine hydrochloride
30590,medised tablet (ssl international plc),non-opioid and compound analgesics,paracetamol/promethazine hydrochloride
10901,paracetamol with promethazine hydrochloride 120mg+1.5mg/5ml suspension,sedating antihistamines/non-opioid and compound analgesics,paracetamol/promethazine hydrochloride
22236,paracetamol with promethazine hydrochloride 120mg+1.5mg/5ml suspension sugar free colour free,sedating antihistamines/non-opioid and compound analgesics,paracetamol/promethazine hydrochloride
24445,paracetamol with promethazine hydrochloride tablet,sedating antihistamines/non-opioid and compound analgesics,paracetamol/promethazine hydrochloride
33230,promethazine hydrochloride 1.5mg with paracetamol 120mg/5ml oral solution,sedating antihistamines/non-opioid and compound analgesics,paracetamol/promethazine hydrochloride
23052,promethazine hydrochloride 1.5mg with paracetamol 120mg/5ml oral solution colour free and sugar free,sedating antihistamines/non-opioid and compound analgesics,paracetamol/promethazine hydrochloride
59801,generic night nurse oral solution,miscellaneous cough & cold preparations,paracetamol/promethazine hydrochloride/dextromethorphan hydrobromide
23107,night nurse oral solution (glaxosmithkline consumer healthcare),miscellaneous cough & cold preparations,paracetamol/promethazine hydrochloride/dextromethorphan hydrobromide
840,fentazin 2mg tablets (advanz pharma),first-generation antipsychotic drugs,perphenazine
7919,fentazin 4mg tablets (advanz pharma),first-generation antipsychotic drugs,perphenazine
228,fentazin 5mg/ml injection (goldshield pharmaceuticals ltd),antipsychotic products/-,perphenazine
609,perphenazine 2mg tablets,first-generation antipsychotic drugs/products used against nausea and vertigo,perphenazine
14987,perphenazine 2mg/5ml oral solution sugar free,antipsychotic products/-,perphenazine
2157,perphenazine 4mg tablets,first-generation antipsychotic drugs/products used against nausea and vertigo,perphenazine
25909,perphenazine 4mg/5ml oral solution sugar free,antipsychotic products/-,perphenazine
17087,perphenazine 5mg/ml injection,antipsychotic products/-,perphenazine
33954,promethazine hydrochloride 50mg with pethidine 100mg/2ml injection,sedating antihistamines/opioid analgesics,pethidine hydrochloride/promethazine hydrochloride
18193,pholcodine 1.5mg/5ml / promethazine 1.5mg/5ml oral solution sugar free,unknown,pholcodine/promethazine hydrochloride
27988,pholcodine with promethazine hydrochloride linctus,demulcent and expectorant cough preparations,pholcodine/promethazine hydrochloride
29732,promethazine hydrochloride 1.5mg with pholcodine 1.5mg/5ml oral solution,sedating antihistamines/cough suppressants,pholcodine/promethazine hydrochloride
35857,tixylix night cough oral solution (novartis consumer health uk ltd),unknown,pholcodine/promethazine hydrochloride
19479,tixylix night-time 1.5mg+1.5mg/5ml oral solution (novartis consumer health uk ltd),sedating antihistamines/cough suppressants,pholcodine/promethazine hydrochloride
22267,tixylix night-time 1.5mg+1.5mg/5ml oral solution (novartis consumer health uk ltd),sedating antihistamines/cough suppressants,pholcodine/promethazine hydrochloride
500,buccastem 3mg tablet (reckitt benckiser healthcare (uk) ltd),antipsychotic products/-,prochlorperazine maleate
42882,buccastem 3mg tablets (alliance pharmaceuticals ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
74797,buccastem 3mg tablets (de pharmaceuticals),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
5971,buccastem m 3mg tablets (alliance pharmaceuticals ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
1990,prochlorperazine 25mg suppositories,"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
3932,prochlorperazine 25mg tablets,unknown,prochlorperazine maleate
4769,prochlorperazine 3mg buccal tablets,"products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
60971,prochlorperazine 3mg buccal tablets (a a h pharmaceuticals ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
59008,prochlorperazine 3mg buccal tablets (advanz pharma),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
66990,prochlorperazine 3mg buccal tablets (alliance healthcare (distribution) ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
76534,prochlorperazine 3mg buccal tablets (medreich plc),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
1434,prochlorperazine 5mg suppositories,"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
54458,prochlorperazine 5mg tablet (teva uk ltd),antipsychotic products/-,prochlorperazine maleate
85,prochlorperazine 5mg tablets,"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
34344,prochlorperazine 5mg tablets (a a h pharmaceuticals ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
32064,prochlorperazine 5mg tablets (actavis uk ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
61592,prochlorperazine 5mg tablets (almus pharmaceuticals ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
73148,prochlorperazine 5mg tablets (bristol laboratories ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
68942,prochlorperazine 5mg tablets (de pharmaceuticals),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
43420,prochlorperazine 5mg tablets (dr reddy's laboratories (uk) ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
62115,prochlorperazine 5mg tablets (genesis pharmaceuticals ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
32551,prochlorperazine 5mg tablets (ivax pharmaceuticals uk ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
80551,prochlorperazine 5mg tablets (medreich plc),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
32772,prochlorperazine 5mg tablets (mylan),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
81316,prochlorperazine 5mg tablets (phoenix healthcare distribution ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
55038,prochlorperazine 5mg tablets (sigma pharmaceuticals plc),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
32876,prochlorperazine 5mg tablets (teva uk ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
77571,prochlorperazine 5mg tablets (waymade healthcare plc),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
4401,prochlorperazine maleate 10mg modified release capsule,antipsychotic products/-,prochlorperazine maleate
15438,prochlorperazine maleate 15mg modified release capsul,antipsychotic products/-,prochlorperazine maleate
13607,proziere 5mg tablets (ashbourne pharmaceuticals ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
1234,stemetil 25mg suppositories (sanofi),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
5497,stemetil 25mg tablets (sanofi),unknown,prochlorperazine maleate
227,stemetil 5mg suppositories (sanofi),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
512,stemetil 5mg tablet (castlemead healthcare ltd),antipsychotic products/-,prochlorperazine maleate
50462,stemetil 5mg tablets (de pharmaceuticals),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
49170,stemetil 5mg tablets (lexon (uk) ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
51551,stemetil 5mg tablets (mawdsley-brooks & company ltd),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
39887,stemetil 5mg tablets (sanofi),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
51579,stemetil 5mg tablets (sigma pharmaceuticals plc),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
54429,stemetil 5mg tablets (waymade healthcare plc),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine maleate
8689,vertigon spansule 10 10mg spansule (glaxosmithkline consumer healthcare),antipsychotic products/-,prochlorperazine maleate
17849,vertigon spansule 15 15mg spansule (glaxosmithkline consumer healthcare),antipsychotic products/-,prochlorperazine maleate
14364,prochlorperazine 12.5mg/1ml solution for injection ampoules,"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine mesilate
32122,prochlorperazine 12.5mg/1ml solution for injection ampoules (advanz pharma),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine mesilate
9590,prochlorperazine 5mg effervescent granules sachets sugar free,unknown,prochlorperazine mesilate
6036,prochlorperazine 5mg/5ml oral solution,"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine mesilate
5510,prochlorperazine mesilate 12.5mg/ml injection,antipsychotic products/-,prochlorperazine mesilate
14356,stemetil 12.5mg/1ml solution for injection ampoules (sanofi),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine mesilate
3246,stemetil 12.5mg/ml injection (castlemead healthcare ltd),antipsychotic products/-,prochlorperazine mesilate
7593,stemetil 5mg/5ml oral solution (castlemead healthcare ltd),antipsychotic products/-,prochlorperazine mesilate
40001,stemetil 5mg/5ml syrup (sanofi),"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",prochlorperazine mesilate
3738,stemetil eff 5mg sachets (sanofi),unknown,prochlorperazine mesilate
918,phenergan 10mg tablets (sanofi),"sedating antihistamines/hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
49968,phenergan 25mg tablets (de pharmaceuticals),"hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
55838,phenergan 25mg tablets (lexon (uk) ltd),"hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
3582,phenergan 25mg tablets (sanofi),"hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
35437,phenergan 25mg/1ml solution for injection ampoules (sanofi),sedating antihistamines/hypnotics,promethazine hydrochloride
7438,phenergan 25mg/ml injection (aventis pharma),sedating antihistamines/allergic emergencies,promethazine hydrochloride
1610,phenergan 5mg/5ml elixir (sanofi),"sedating antihistamines/hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
14955,phenergan nightime 25mg tablets (sanofi),hypnotics,promethazine hydrochloride
35846,promethazine 25mg/1ml solution for injection ampoules,sedating antihistamines/hypnotics,promethazine hydrochloride
62980,promethazine 25mg/5ml oral solution,"sedating antihistamines/hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
62590,promethazine 25mg/5ml oral suspension,"sedating antihistamines/hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
47056,promethazine 50mg/2ml solution for injection ampoules,"hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
1998,promethazine 5mg/5ml oral solution sugar free,"sedating antihistamines/hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
5561,promethazine hydrochloride 10mg tablets,"sedating antihistamines/hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
82379,promethazine hydrochloride 10mg tablets (alliance healthcare (distribution) ltd),"sedating antihistamines/hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
11004,promethazine hydrochloride 20mg tablets,hypnotics,promethazine hydrochloride
3494,promethazine hydrochloride 25mg tablets,"hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
77739,promethazine hydrochloride 25mg tablets (a a h pharmaceuticals ltd),"hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
12214,promethazine hydrochloride 25mg/ml injection,sedating antihistamines/allergic emergencies,promethazine hydrochloride
74653,promethazine hydrochloride oral solution,sedating antihistamines/hypnotics,promethazine hydrochloride
21359,sominex 20mg tablets (teva uk ltd),hypnotics,promethazine hydrochloride
31889,ziz 10mg tablets (chatfield laboratories),"sedating antihistamines/hypnotics/products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine hydrochloride
57092,night nurse hot lemon menthol oral powder sachets (glaxosmithkline consumer healthcare),miscellaneous cough & cold preparations,promethazine hydrochloride/dextromethorphan hydrobromide/paracetamol
18491,pamergan p100 solution for injection 2ml ampoules (martindale pharmaceuticals ltd),opioid analgesics,promethazine hydrochloride/pethidine hydrochloride
19116,pethidine 100mg/2ml / promethazine 50mg/2ml solution for injection ampoules,opioid analgesics,promethazine hydrochloride/pethidine hydrochloride
1943,avomine 25mg tablets (manx healthcare ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine teoclate
989,promethazine teoclate 25mg tablets,"products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine teoclate
79495,vertigon 25mg tablets (manx healthcare ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",promethazine teoclate
33642,vicks medinite syrup (procter & gamble (health & beauty care) ltd),miscellaneous cough & cold preparations,pseudoephedrine hydrochloride/doxylamine succinate/paracetamol/dextromethorphan hydrobromide
