prodcode,strength,substancestrength,routeofadministration,bnfheader,formulation,bnfchapter,drugsubstance,productname,route,class
71031,50mg,,,,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg capsules (actavis uk ltd),oral,7
29339,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg capsules (mylan),oral,7
41609,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg capsules (teva uk ltd),oral,7
34421,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg capsules (zentiva),oral,7
61842,10mg/1ml,,,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg/5ml oral solution,oral,7
6442,10mg/1ml,10mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg/5ml oral solution sugar free,oral,7
59931,10mg/1ml,10mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg/5ml oral solution sugar free (a a h pharmaceuticals ltd),oral,7
70521,10mg/1ml,,,,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg/5ml oral solution sugar free (amco),oral,7
77474,10mg/1ml,,,,oral solution,tricyclic and related antidepressants,trazodone hydrochloride,trazodone 50mg/5ml oral solution sugar free (zentiva),oral,7
80399,10mg/1ml,,,,oral suspension,tricyclic and related antidepressants,trazodone hydrochloride,trazodone 50mg/5ml oral suspension,oral,7
61657,15mg/1ml,15mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 75mg/5ml oral solution,oral,7
69355,,,,,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone oral solution,,7
10787,10mg,10mg,Oral,Monoamine-oxidase Inhibitors,tablet,monoamine-oxidase inhibitors,tranylcypromine sulfate,parnate 10mg tablet (goldshield pharmaceuticals ltd),oral,4
3783,10mg,10mg,Oral,Monoamine-oxidase Inhibitors,tablet,monoamine-oxidase inhibitors,tranylcypromine sulfate,tranylcypromine 10mg tablets,oral,4
41654,10mg,10mg,Oral,Monoamine-oxidase Inhibitors,tablet,monoamine-oxidase inhibitors,tranylcypromine sulfate,tranylcypromine 10mg tablets (amco),oral,4
82495,100mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,lustral 100mg tablets (dowelhurst ltd),oral,1
82384,100mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,lustral 100mg tablets (lexon (uk) ltd),oral,1
4352,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,lustral 100mg tablets (pfizer ltd),oral,1
77385,50mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,lustral 50mg tablets (de pharmaceuticals),oral,1
82497,50mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,lustral 50mg tablets (dowelhurst ltd),oral,1
1612,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,lustral 50mg tablets (pfizer ltd),oral,1
727,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets,oral,1
55146,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (a a h pharmaceuticals ltd),oral,1
62950,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (accord healthcare ltd),oral,1
61503,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (actavis uk ltd),oral,1
59600,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (almus pharmaceuticals ltd),oral,1
62692,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (bristol laboratories ltd),oral,1
69726,100mg,,,,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (crescent pharma ltd),oral,1
67928,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (milpharm ltd),oral,1
66560,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (mylan),oral,1
54933,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (pliva pharma ltd),oral,1
66413,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (ranbaxy (uk) ltd),oral,1
68756,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (sandoz ltd),oral,1
44944,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (teva uk ltd),oral,1
73962,100mg,,,,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg tablets (wockhardt uk ltd),oral,1
49519,20mg/1ml,20mg/1ml,Oral,Selective Serotonin Re-uptake Inhibitors,oral suspension,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 100mg/5ml oral suspension,oral,1
77607,2mg/1ml,,,,oral suspension,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 10mg/5ml oral suspension,oral,1
78278,12.5mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 12.5mg tablets,oral,1
62819,2.5mg/1ml,2.5mg/1ml,Oral,Selective Serotonin Re-uptake Inhibitors,oral suspension,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 12.5mg/5ml oral suspension,oral,1
54826,30mg/1ml,30mg/1ml,Oral,Selective Serotonin Re-uptake Inhibitors,oral suspension,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 150mg/5ml oral suspension,oral,1
78626,3mg/1ml,,,,oral suspension,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 15mg/5ml oral suspension,oral,1
73759,4mg/1ml,,,,oral suspension,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 20mg/5ml oral suspension,oral,1
82884,25mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 25mg tablets,oral,1
83101,25mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 25mg tablets (zentiva),oral,1
82195,5mg/1ml,,,,oral solution,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 25mg/5ml oral solution,oral,1
54081,5mg/1ml,,,Selective Serotonin Re-uptake Inhibitors,oral suspension,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 25mg/5ml oral suspension,oral,1
83668,5mg/1ml,,,,oral suspension,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 25mg/5ml oral suspension (drug tariff special order),oral,1
488,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets,oral,1
32401,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (a a h pharmaceuticals ltd),oral,1
58723,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (accord healthcare ltd),oral,1
42387,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (actavis uk ltd),oral,1
45915,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (almus pharmaceuticals ltd),oral,1
62693,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (bristol laboratories ltd),oral,1
69725,50mg,,,,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (crescent pharma ltd),oral,1
63481,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (milpharm ltd),oral,1
58664,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (mylan),oral,1
67730,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (ranbaxy (uk) ltd),oral,1
81991,50mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 50mg tablets (relonchem ltd),oral,1
69898,50mg,,,,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (sandoz ltd),oral,1
55488,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (teva uk ltd),oral,1
75952,50mg,,,,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (tillomed laboratories ltd),oral,1
62927,50mg,50mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg tablets (wockhardt uk ltd),oral,1
75405,10mg/1ml,,,,oral solution,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg/5ml oral solution,oral,1
7328,10mg/1ml,10mg/1ml,Oral,Selective Serotonin Re-uptake Inhibitors,oral suspension,selective serotonin re-uptake inhibitors,sertraline hydrochloride,sertraline 50mg/5ml oral suspension,oral,1
77538,10mg/1ml,,,,oral suspension,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 50mg/5ml oral suspension (drug tariff special order),oral,1
77707,15mg/1ml,,,,oral suspension,selective serotonin re-uptake inhibitors (ssri),sertraline hydrochloride,sertraline 75mg/5ml oral suspension,oral,1
65771,,,Oral,Selective Serotonin Re-uptake Inhibitors,oral suspension,selective serotonin re-uptake inhibitors,sertraline,sertraline 200mg/5ml oral suspension (special order),oral,1
15163,4mg,4mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,reboxetine mesilate,edronax 4mg tablets (pfizer ltd),oral,2
2356,4mg,4mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,reboxetine mesilate,reboxetine 4mg tablets,oral,2
7755,,,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,tablet,tricyclic and related antidepressant drugs/neuropathic pain,protriptyline hydrochloride,concordin 10 tablet (merck sharp & dohme ltd),oral,3
7816,,,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,tablet,tricyclic and related antidepressant drugs/neuropathic pain,protriptyline hydrochloride,concordin 5 tablet (merck sharp & dohme ltd),oral,3
11187,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,tablets,tricyclic and related antidepressant drugs/neuropathic pain,protriptyline hydrochloride,protriptyline 10mg tablet,oral,3
7756,5mg,5mg,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,tablets,tricyclic and related antidepressant drugs/neuropathic pain,protriptyline hydrochloride,protriptyline 5mg tablet,oral,3
60929,5mg,5mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,protriptyline hydrochloride,protriptyline 5mg tablets,oral,3
3349,15mg,15mg,Oral,Monoamine-oxidase Inhibitors,tablet,monoamine-oxidase inhibitors,phenelzine sulfate,nardil 15mg tablets (kyowa kirin ltd),oral,4
82839,15mg,,,,capsule,monoamine-oxidase inhibitors (maoi),phenelzine sulfate,phenelzine 15mg capsules,oral,4
4321,15mg,15mg,Oral,Monoamine-oxidase Inhibitors,tablet,monoamine-oxidase inhibitors,phenelzine sulfate,phenelzine 15mg tablets,oral,4
35021,10mg,10mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 10mg tablets,oral,1
76946,10mg,,,,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 10mg tablets (a a h pharmaceuticals ltd),oral,1
59288,10mg,10mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 10mg tablets (actavis uk ltd),oral,1
81854,10mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),paroxetine hydrochloride,paroxetine 10mg tablets (teva uk ltd),oral,1
67259,2mg/1ml,,,Selective Serotonin Re-uptake Inhibitors,oral solution,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 10mg/5ml oral solution,oral,1
527,2mg/1ml,2mg/1ml,Oral,Selective Serotonin Re-uptake Inhibitors,oral suspension,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 10mg/5ml oral suspension sugar free,oral,1
50,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 20mg tablets,oral,1
34419,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 20mg tablets (a a h pharmaceuticals ltd),oral,1
32899,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 20mg tablets (actavis uk ltd),oral,1
73668,20mg,,,,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 20mg tablets (almus pharmaceuticals ltd),oral,1
40892,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 20mg tablets (genus pharmaceuticals ltd),oral,1
34351,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 20mg tablets (ivax pharmaceuticals uk ltd),oral,1
55023,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 20mg tablets (medreich plc),oral,1
33978,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 20mg tablets (mylan),oral,1
79383,30mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),paroxetine hydrochloride,paroxetine 30mg tablet (neo laboratories ltd),,1
79381,30mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),paroxetine hydrochloride,paroxetine 30mg tablet (sovereign medical ltd),,1
1397,30mg,30mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 30mg tablets,oral,1
34587,30mg,30mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 30mg tablets (a a h pharmaceuticals ltd),oral,1
40165,30mg,30mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 30mg tablets (actavis uk ltd),oral,1
64785,30mg,30mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 30mg tablets (alliance healthcare (distribution) ltd),oral,1
83463,30mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),paroxetine hydrochloride,paroxetine 30mg tablets (almus pharmaceuticals ltd),oral,1
78843,6mg/1ml,,,,oral solution,selective serotonin re-uptake inhibitors (ssri),paroxetine hydrochloride,paroxetine 30mg/5ml oral solution,oral,1
68325,40mg,40mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine 40mg tablets,oral,1
75054,,,,,,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,paroxetine oral liquid,,1
35112,10mg,10mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,seroxat 10mg tablets (glaxosmithkline uk ltd),oral,1
66292,10mg,10mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,seroxat 10mg tablets (waymade healthcare plc),oral,1
74588,20mg,,,,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,seroxat 20mg tablets (de pharmaceuticals),oral,1
841,20mg,20mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,seroxat 20mg tablets (glaxosmithkline uk ltd),oral,1
73589,20mg,,,,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,seroxat 20mg tablets (lexon (uk) ltd),oral,1
77650,20mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),paroxetine hydrochloride,seroxat 20mg tablets (mawdsley-brooks & company ltd),oral,1
82506,20mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),paroxetine hydrochloride,seroxat 20mg tablets (waymade healthcare plc),oral,1
3601,2mg/1ml,2mg/1ml,Oral,Selective Serotonin Re-uptake Inhibitors,oral suspension,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,seroxat 20mg/10ml liquid (glaxosmithkline uk ltd),oral,1
1575,30mg,30mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,seroxat 30mg tablets (glaxosmithkline uk ltd),oral,1
55537,30mg,30mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,seroxat 30mg tablets (lexon (uk) ltd),oral,1
76772,30mg,,,,tablet,selective serotonin re-uptake inhibitors,paroxetine hydrochloride,seroxat 30mg tablets (mawdsley-brooks & company ltd),oral,1
82578,30mg,,,,tablet,selective serotonin re-uptake inhibitors (ssri),paroxetine hydrochloride,seroxat 30mg tablets (waymade healthcare plc),oral,1
7677,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,nortriptyline hydrochloride,allegron 10mg tablets (king pharmaceuticals ltd),oral,3
8640,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,nortriptyline hydrochloride,allegron 25mg tablets (king pharmaceuticals ltd),oral,3
83498,25mg,,,,tablet,tricyclic and related antidepressants,nortriptyline hydrochloride,allegron 25mg tablets (lexon (uk) ltd),oral,3
17183,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,capsule,tricyclic and related antidepressant drugs/neuropathic pain,nortriptyline hydrochloride,aventyl 10mg capsule (eli lilly and company ltd),oral,3
12549,10mg/5ml,10mg/5ml,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,liquid,tricyclic and related antidepressant drugs/neuropathic pain,nortriptyline hydrochloride,aventyl 10mg/5ml liquid (eli lilly and company ltd),oral,3
12353,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,capsule,tricyclic and related antidepressant drugs/neuropathic pain,nortriptyline hydrochloride,aventyl 25mg capsule (eli lilly and company ltd),oral,3
4118,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,capsule,tricyclic and related antidepressant drugs/neuropathic pain,nortriptyline hydrochloride,nortriptyline 10mg capsule,oral,3
3183,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 10mg tablets,oral,3
65237,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 10mg tablets (a a h pharmaceuticals ltd),oral,3
80352,10mg,,,,tablet,tricyclic and related antidepressants/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 10mg tablets (accord healthcare ltd),oral,3
55970,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 10mg tablets (king pharmaceuticals ltd),oral,3
39145,10mg/5ml,10mg/5ml,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,liquid,tricyclic and related antidepressant drugs/neuropathic pain,nortriptyline hydrochloride,nortriptyline 10mg/5ml liquid,oral,3
72626,2mg/1ml,,,,oral solution,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 10mg/5ml oral solution,oral,3
80546,2mg/1ml,,,,oral solution,tricyclic and related antidepressants/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 10mg/5ml oral solution sugar free,oral,3
68228,2mg/1ml,,,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,oral suspension,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 10mg/5ml oral suspension,oral,3
7678,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Neuropathic Pain,capsule,tricyclic and related antidepressant drugs/neuropathic pain,nortriptyline hydrochloride,nortriptyline 25mg capsule,oral,3
3903,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 25mg tablets,oral,3
48216,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 25mg tablets (a a h pharmaceuticals ltd),oral,3
63276,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 25mg tablets (alliance healthcare (distribution) ltd),oral,3
66201,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs/Nocturnal Enuresis,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 25mg tablets (sigma pharmaceuticals plc),oral,3
78224,25mg,,,,tablet,tricyclic and related antidepressants/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 25mg tablets (waymade healthcare plc),oral,3
83536,5mg/1ml,,,,oral solution,tricyclic and related antidepressants/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 25mg/5ml oral solution sugar free,oral,3
69317,50mg,,,,tablet,tricyclic and related antidepressant drugs/nocturnal enuresis,nortriptyline hydrochloride,nortriptyline 50mg tablets,oral,3
3391,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,nefazodone hydrochloride,dutonin 100mg tablets (bristol-myers squibb pharmaceuticals ltd),oral,7
4297,200mg,200mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,nefazodone hydrochloride,dutonin 200mg tablets (bristol-myers squibb pharmaceuticals ltd),oral,7
63827,50mg,,,,tablet,unknown,nefazodone hydrochloride,dutonin 50mg tablets (bristol-myers squibb pharmaceuticals ltd),oral,7
4554,100mg,100mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,nefazodone hydrochloride,nefazodone 100mg tablets,oral,7
4011,200mg,200mg,Oral,Selective Serotonin Re-uptake Inhibitors,tablet,selective serotonin re-uptake inhibitors,nefazodone hydrochloride,nefazodone 200mg tablets,oral,7
67757,50mg,,,,tablet,unknown,nefazodone hydrochloride,nefazodone 50mg tablets,oral,7
9534,,,Oral,Other Antidepressant Drugs,starter pack,other antidepressant drugs,nefazodone hydrochloride,nefazodone starter pack,oral,7
9206,150mg,150mg,Oral,Reversible Monoamine-oxidase Inhibitors,tablet,reversible monoamine-oxidase inhibitors,moclobemide,manerix 150mg tablets (meda pharmaceuticals ltd),oral,5
5832,300mg,300mg,Oral,Reversible Monoamine-oxidase Inhibitors,tablet,reversible monoamine-oxidase inhibitors,moclobemide,manerix 300mg tablets (meda pharmaceuticals ltd),oral,5
2883,150mg,150mg,Oral,Reversible Monoamine-oxidase Inhibitors,tablet,reversible monoamine-oxidase inhibitors,moclobemide,moclobemide 150mg tablets,oral,5
67305,150mg,150mg,Oral,Reversible Monoamine-oxidase Inhibitors,tablet,reversible monoamine-oxidase inhibitors,moclobemide,moclobemide 150mg tablets (sigma pharmaceuticals plc),oral,5
41747,150mg,150mg,Oral,Reversible Monoamine-oxidase Inhibitors,tablet,reversible monoamine-oxidase inhibitors,moclobemide,moclobemide 150mg tablets (teva uk ltd),oral,5
5187,300mg,300mg,Oral,Reversible Monoamine-oxidase Inhibitors,tablet,reversible monoamine-oxidase inhibitors,moclobemide,moclobemide 300mg tablets,oral,5
6421,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets,oral,7
43253,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (a a h pharmaceuticals ltd),oral,7
64101,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (accord healthcare ltd),oral,7
43241,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (aurobindo pharma ltd),oral,7
66580,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (bluefish pharmaceuticals ab),oral,7
61856,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (consilient health ltd),oral,7
43248,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (focus pharmaceuticals ltd),oral,7
43246,15mg,15mg,Oral,Other Antidepressant Drugs,orodispersible tablet,other antidepressant drugs,mirtazapine,mirtazapine 15mg orodispersible tablets (genus pharmaceuticals ltd),oral,7
