icd10,description,minormalformation,subgroup
Q34.8,Other spec congenital malformations of respiratory system,,Respiratory
Q34.9,"""Congenital malformation of respiratory system, unspecified""",,Respiratory
Q61.0,Congenital single renal cyst,Yes,Urinary
Q62.7,Congenital vesico-uretero-renal reflux,Yes,Urinary
Q63.3,Hyperplastic and giant kidney,Yes,Urinary
Q60,Renal agenesis and other reduction defects of kidney,,Urinary
Q60.0,"""Renal agenesis, unilateral""",,Urinary
Q60.1,"""Renal agenesis, bilateral""",,Urinary
Q60.2,"""Renal agenesis, unspecified""",,Urinary
Q60.3,"""Renal hypoplasia, unilateral""",,Urinary
Q60.4,"""Renal hypoplasia, bilateral""",,Urinary
Q60.5,"""Renal hypoplasia, unspecified""",,Urinary
Q60.6,Potter's syndrome,,Urinary
Q61,Cystic kidney disease,,Urinary
Q61.4,Renal dysplasia,,Urinary
Q61.8,Other cystic kidney diseases,,Urinary
Q61.9,"""Cystic kidney disease, unspecified""",,Urinary
Q62,Cong obstructive defect renal pelvis and cong malform ureter,,Urinary
Q62.0,Congenital hydronephrosis,,Urinary
Q62.1,Atresia and stenosis of ureter,,Urinary
Q62.2,Congenital megaloureter,,Urinary
Q62.3,Other obstructive defects of renal pelvis and ureter,,Urinary
Q62.4,Agenesis of ureter,,Urinary
Q62.5,Duplication of ureter,,Urinary
Q62.6,Malposition of ureter,,Urinary
Q62.8,Other congenital malformations of ureter,,Urinary
Q63,Other congenital malformations of kidney,,Urinary
Q63.0,Accessory kidney,,Urinary
Q63.1,"""Lobulated, fused and horseshoe kidney""",,Urinary
Q63.2,Ectopic kidney,,Urinary
Q63.8,Other specified congenital malformations of kidney,,Urinary
Q63.9,"""Congenital malformation of kidney, unspecified""",,Urinary
Q64,Other congenital malformations of urinary system,,Urinary
Q64.0,Epispadias,,Urinary
Q64.1,Exstrophy of urinary bladder,,Urinary
Q64.2,Congenital posterior urethral valves,,Urinary
Q64.3,Other atresia and stenosis of urethra and bladder neck,,Urinary
Q64.4,Malformation of urachus,,Urinary
Q64.5,Congenital absence of bladder and urethra,,Urinary
Q64.6,Congenital diverticulum of bladder,,Urinary
Q64.7,Other congenital malformations of bladder and urethra,,Urinary
Q64.8,Other specified congenital malformations of urinary system,,Urinary
Q64.9,"""Congenital malformation of urinary system, unspecified""",,Urinary
Q79.4,Prune belly syndrome,,Urinary
